  i|  p|  B 
  0|  2|  0000000000
  1|  1|  0000000001
  2|  2|  0000000011
  3|  1|  0000000010
  4|  3|  0000000110
  5|  1|  0000000111
  6|  2|  0000000101
  7|  1|  0000000100
  8|  4|  0000001100
  9|  1|  0000001101
  10|  2|  0000001111
  11|  1|  0000001110
  12|  2|  0000001010
  13|  1|  0000001011
  14|  2|  0000001001
  15|  1|  0000001000
  16|  5|  0000011000
  17|  1|  0000011001
  18|  2|  0000011011
  19|  1|  0000011010
  20|  2|  0000011110
  21|  1|  0000011111
  22|  2|  0000011101
  23|  1|  0000011100
  24|  2|  0000010100
  25|  1|  0000010101
  26|  2|  0000010111
  27|  1|  0000010110
  28|  2|  0000010010
  29|  1|  0000010011
  30|  2|  0000010001
  31|  1|  0000010000
  32|  6|  0000110000
  33|  1|  0000110001
  34|  2|  0000110011
  35|  1|  0000110010
  36|  2|  0000110110
  37|  1|  0000110111
  38|  2|  0000110101
  39|  1|  0000110100
  40|  2|  0000111100
  41|  1|  0000111101
  42|  2|  0000111111
  43|  1|  0000111110
  44|  2|  0000111010
  45|  1|  0000111011
  46|  2|  0000111001
  47|  1|  0000111000
  48|  2|  0000101000
  49|  1|  0000101001
  50|  2|  0000101011
  51|  1|  0000101010
  52|  2|  0000101110
  53|  1|  0000101111
  54|  2|  0000101101
  55|  1|  0000101100
  56|  2|  0000100100
  57|  1|  0000100101
  58|  2|  0000100111
  59|  1|  0000100110
  60|  2|  0000100010
  61|  1|  0000100011
  62|  2|  0000100001
  63|  1|  0000100000
  64|  7|  0001100000
  65|  1|  0001100001
  66|  2|  0001100011
  67|  1|  0001100010
  68|  2|  0001100110
  69|  1|  0001100111
  70|  2|  0001100101
  71|  1|  0001100100
  72|  2|  0001101100
  73|  1|  0001101101
  74|  2|  0001101111
  75|  1|  0001101110
  76|  2|  0001101010
  77|  1|  0001101011
  78|  2|  0001101001
  79|  1|  0001101000
  80|  2|  0001111000
  81|  1|  0001111001
  82|  2|  0001111011
  83|  1|  0001111010
  84|  2|  0001111110
  85|  1|  0001111111
  86|  2|  0001111101
  87|  1|  0001111100
  88|  2|  0001110100
  89|  1|  0001110101
  90|  2|  0001110111
  91|  1|  0001110110
  92|  2|  0001110010
  93|  1|  0001110011
  94|  2|  0001110001
  95|  1|  0001110000
  96|  2|  0001010000
  97|  1|  0001010001
  98|  2|  0001010011
  99|  1|  0001010010
  100|  2|  0001010110
  101|  1|  0001010111
  102|  2|  0001010101
  103|  1|  0001010100
  104|  2|  0001011100
  105|  1|  0001011101
  106|  2|  0001011111
  107|  1|  0001011110
  108|  2|  0001011010
  109|  1|  0001011011
  110|  2|  0001011001
